time,precip_mm_day
2021-05-17,17.20523
2021-05-18,79.72546
2021-05-19,421.40564
2021-05-20,1076.9128
2021-05-21,102.99142
2021-05-22,4.4285808
2021-05-23,7.855567
2021-05-24,12.416939
2021-05-25,1.1305753
2021-05-26,6.9348726
2021-05-27,3.9955673
2021-05-28,11.760105
2021-05-29,79.65494
2021-05-30,122.185196
2021-05-31,36.956196
2021-06-01,106.75505
2021-06-02,37.00573
2021-06-03,34.74289
2021-06-04,15.553787
2021-06-05,19.943733
2021-06-06,53.484875
2021-06-07,73.04202
2021-06-08,8.373245
2021-06-09,31.652664
2021-06-10,51.836143
2021-06-11,41.32274
2021-06-12,101.73187
2021-06-13,74.509125
2021-06-14,56.734543
2021-06-15,58.12597
2021-06-16,104.187225
2021-06-17,111.9787
2021-06-18,918.9542
2021-06-19,1125.7769
2021-06-20,447.7547
2021-06-21,63.257862
2021-06-22,26.10262
2021-06-23,30.323357
2021-06-24,29.937553
2021-06-25,49.457474
2021-06-26,45.662132
2021-06-27,20.68114
2021-06-28,14.829494
2021-06-29,24.083778
2021-06-30,39.90207
2021-07-01,59.71321
2021-07-02,43.95742
2021-07-03,31.955809
2021-07-04,44.5398
2021-07-05,33.536217
2021-07-06,31.064545
2021-07-07,48.589058
2021-07-08,119.302826
2021-07-09,105.74593
2021-07-10,103.8625
2021-07-11,339.66974
2021-07-12,736.79407
2021-07-13,148.05661
2021-07-14,88.39925
2021-07-15,60.822712
2021-07-16,85.673004
2021-07-17,122.356186
2021-07-18,337.5143
2021-07-19,793.9831
2021-07-20,325.40277
2021-07-21,257.66858
2021-07-22,435.74475
2021-07-23,165.40575
2021-07-24,90.74144
2021-07-25,95.62814
2021-07-26,240.0556
2021-07-27,170.34827
2021-07-28,372.11163
2021-07-29,214.51552
2021-07-30,184.68231
2021-07-31,134.84857
2021-08-01,148.49582
2021-08-02,131.44104
2021-08-03,101.98103
2021-08-04,174.53197
2021-08-05,125.878395
2021-08-06,153.17178
2021-08-07,90.72366
2021-08-08,215.32268
2021-08-09,158.05818
2021-08-10,50.60986
2021-08-11,41.563614
2021-08-12,79.14298
2021-08-13,57.462692
2021-08-14,35.152996
2021-08-15,79.118744
2021-08-16,13.70373
2021-08-17,14.392742
2021-08-18,53.55905
2021-08-19,104.17552
2021-08-20,545.5321
2021-08-21,140.04614
2021-08-22,109.11844
2021-08-23,99.31842
2021-08-24,218.81694
2021-08-25,142.98486
2021-08-26,99.84912
2021-08-27,255.99937
2021-08-28,929.68726
2021-08-29,300.68167
2021-08-30,60.962868
2021-08-31,93.53173
2021-09-01,236.081
2021-09-02,107.37366
2021-09-03,56.95214
2021-09-04,58.007416
2021-09-05,62.18045
2021-09-06,71.408455
2021-09-07,241.80573
2021-09-08,356.36615
2021-09-09,99.73286
2021-09-10,113.20294
2021-09-11,93.53265
2021-09-12,93.10453
2021-09-13,147.52036
2021-09-14,117.68692
2021-09-15,62.367004
2021-09-16,96.568146
2021-09-17,45.53051
2021-09-18,8.614456
2021-09-19,65.770905
2021-09-20,253.4766
2021-09-21,191.7124
2021-09-22,98.89897
2021-09-23,108.576706
2021-09-24,76.279816
2021-09-25,51.126045
2021-09-26,75.4335
2021-09-27,49.10591
2021-09-28,78.868744
2021-09-29,55.64582
2021-09-30,71.94257
2021-10-01,91.770004
2021-10-02,39.635403
2021-10-03,67.18705
2021-10-04,38.942688
2021-10-05,9.647772
2021-10-06,2.8335433
2021-10-07,21.516375
2021-10-08,41.39987
2021-10-09,14.098303
2021-10-10,3.1522753
2021-10-11,1.1476493
2021-10-12,1.3749377
2021-10-13,1.4859924
2021-10-14,0.12921156
2021-10-15,0.14375666
2021-10-16,0.014703791
2021-10-17,45.03096
2021-10-18,1496.2638
2021-10-19,820.224
2021-10-20,55.27682
2021-10-21,4.6104383
2021-10-22,4.742367
2021-10-23,27.615664
2021-10-24,34.303185
2021-10-25,4.1860642
2021-10-26,7.3981934
2021-10-27,5.898266
2021-10-28,1.0869383
2021-10-29,1.1251626
2021-10-30,2.0237916
2021-10-31,14.386458
2021-11-01,34.344482
2021-11-02,12.5515995
2021-11-03,3.468386
2021-11-04,1.7661823
2021-11-05,0.5740502
2021-11-06,0.56105256
2021-11-07,0.4880839
2021-11-08,0.049231626
2021-11-09,0.016292868
2021-11-10,0.06318741
2021-11-11,0.70816976
2021-11-12,1.030018
2021-11-13,0.22833225
2021-11-14,3.422817
2021-11-15,1.476388
2021-11-16,0.6479341
2021-11-17,0.038081452
2021-11-18,0.03236343
2021-11-19,0.023184147
2021-11-20,0.19077806
2021-11-21,0.045401827
2021-11-22,0.053946365
2021-11-23,0.04890113
2021-11-24,21.51863
2021-11-25,47.01811
2021-11-26,27.203838
2021-11-27,12.430123
2021-11-28,1.2523236
2021-11-29,0.046315663
2021-11-30,0.0055280514
2021-12-01,3.932927
2021-12-02,176.82764
2021-12-03,120.56681
2021-12-04,5.8539643
2021-12-05,69.30696
2021-12-06,214.58275
2021-12-07,11.0816345
2021-12-08,0.14600231
2021-12-09,0.15059862
2021-12-10,0.026244245
2021-12-11,0.017301405
2021-12-12,0.14041136
2021-12-13,1.0461805
2021-12-14,6.931472
2021-12-15,1.1292236
2021-12-16,2.9322152
2021-12-17,14.57932
2021-12-18,10.945339
2021-12-19,0.5647033
2021-12-20,0.019591158
2021-12-21,35.26372
2021-12-22,20.535982
2021-12-23,40.611855
2021-12-24,27.448566
2021-12-25,29.259562
2021-12-26,76.926575
2021-12-27,9.180241
2021-12-28,30.248388
2021-12-29,52.644653
2021-12-30,2.3607774
2021-12-31,0.12734205
